GameID,Turn,Depth,BoardSize,Time(s)
1766547895,2,4,3,0.0195
1766547895,4,4,3,0.00452
1766547895,6,4,3,0.0
1766547895,8,4,3,0.0
1766547960,2,5,3,0.03702
1766547960,4,5,3,0.00451
1766547960,6,5,3,0.00101
1766547960,8,5,3,0.0
1766548673,2,4,3,0.01405
1766548673,4,4,3,0.004
1766548673,6,4,3,0.0
1766548673,8,4,3,0.0
